date;fajr;lever;zohrain;coucher;Magribain
29/09;04:46;06:00;12:10;18:16;18:29
30/09;04:45;05:59;12:09;18:16;18:29
01/10;04:44;05:58;12:09;18:17;18:30
02/10;04:43;05:58;12:09;18:17;18:30
03/10;04:42;05:57;12:08;18:17;18:30
04/10;04:41;05:56;12:08;18:18;18:31
05/10;04:40;05:55;12:08;18:18;18:31
06/10;04:39;05:54;12:08;18:18;18:31
07/10;04:38;05:53;12:07;18:18;18:31
08/10;04:37;05:52;12:07;18:19;18:32
09/10;04:36;05:51;12:07;18:19;18:32
10/10;04:35;05:51;12:06;18:19;18:32
11/10;04:34;05:50;12:06;18:20;18:33
12/10;04:33;05:49;12:06;18:20;18:33
13/10;04:32;05:48;12:06;18:20;18:33
14/10;04:31;05:47;12:06;18:21;18:34
15/10;04:30;05:46;12:05;18:21;18:34
16/10;04:29;05:46;12:05;18:22;18:35
17/10;04:29;05:45;12:05;18:22;18:35
18/10;04:28;05:44;12:05;18:22;18:35
19/10;04:27;05:43;12:05;18:23;18:36
20/10;04:26;05:43;12:04;18:23;18:36
21/10;04:25;05:42;12:04;18:23;18:36
22/10;04:24;05:41;12:04;18:24;18:37
23/10;04:23;05:41;12:04;18:24;18:37
24/10;04:22;05:40;12:04;18:25;18:38
25/10;04:22;05:39;12:04;18:25;18:38
26/10;04:21;05:39;12:04;18:26;18:39
27/10;04:20;05:38;12:04;18:26;18:39
28/10;04:19;05:37;12:03;18:27;18:40
29/10;04:18;05:37;12:03;18:27;18:40
30/10;04:18;05:36;12:03;18:28;18:41
31/10;04:17;05:36;12:03;18:28;18:41
01/11;04:16;05:35;12:03;18:29;18:42
02/11;04:15;05:34;12:03;18:29;18:42
03/11;04:15;05:34;12:03;18:30;18:43
04/11;04:14;05:33;12:03;18:30;18:43
05/11;04:13;05:33;12:03;18:31;18:44
06/11;04:13;05:33;12:03;18:31;18:44
07/11;04:12;05:32;12:03;18:32;18:45
08/11;04:12;05:32;12:04;18:32;18:45
09/11;04:11;05:31;12:04;18:33;18:46
10/11;04:11;05:31;12:04;18:34;18:47
11/11;04:10;05:31;12:04;18:34;18:47
12/11;04:09;05:30;12:04;18:35;18:48
13/11;04:09;05:30;12:04;18:35;18:48
14/11;04:08;05:30;12:04;18:36;18:49
15/11;04:08;05:29;12:04;18:37;18:50
16/11;04:08;05:29;12:05;18:37;18:50
17/11;04:07;05:29;12:05;18:38;18:51
18/11;04:07;05:29;12:05;18:38;18:51
19/11;04:07;05:29;12:05;18:39;18:52
20/11;04:06;05:28;12:06;18:40;18:53
21/11;04:06;05:28;12:06;18:40;18:53
22/11;04:06;05:28;12:06;18:41;18:54
23/11;04:05;05:28;12:06;18:42;18:55
24/11;04:05;05:28;12:07;18:42;18:55
25/11;04:05;05:28;12:07;18:43;18:56
26/11;04:05;05:28;12:07;18:44;18:57
27/11;04:05;05:28;12:08;18:44;18:57
28/11;04:05;05:28;12:08;18:45;18:58
29/11;04:04;05:28;12:08;18:46;18:59
30/11;04:04;05:28;12:09;18:46;18:59
01/12;04:04;05:28;12:09;18:47;19:00
02/12;04:04;05:28;12:09;18:48;19:01
03/12;04:04;05:29;12:10;18:48;19:01
04/12;04:04;05:29;12:10;18:49;19:02
05/12;04:04;05:29;12:11;18:49;19:02
06/12;04:05;05:29;12:11;18:50;19:03
07/12;04:05;05:29;12:12;18:51;19:04
08/12;04:05;05:30;12:12;18:51;19:04
09/12;04:05;05:30;12:12;18:52;19:05
10/12;04:05;05:30;12:13;18:53;19:06
11/12;04:06;05:31;12:13;18:53;19:06
12/12;04:06;05:31;12:14;18:54;19:07
13/12;04:06;05:31;12:14;18:54;19:07
14/12;04:06;05:32;12:15;18:55;19:08
15/12;04:07;05:32;12:15;18:56;19:09
16/12;04:07;05:32;12:16;18:56;19:09
17/12;04:08;05:33;12:16;18:57;19:10
18/12;04:08;05:33;12:17;18:57;19:10
19/12;04:08;05:34;12:17;18:58;19:11
20/12;04:09;05:34;12:18;18:58;19:11
21/12;04:09;05:35;12:18;18:59;19:12
22/12;04:10;05:35;12:19;18:59;19:12
23/12;04:10;05:36;12:19;19:00;19:13
24/12;04:11;05:36;12:20;19:00;19:13
25/12;04:12;05:37;12:20;19:01;19:14
26/12;04:12;05:37;12:21;19:01;19:14
27/12;04:13;05:38;12:21;19:01;19:14
28/12;04:13;05:39;12:22;19:02;19:15
29/12;04:14;05:39;12:22;19:02;19:15
30/12;04:15;05:40;12:23;19:02;19:15
31/12;04:15;05:40;12:23;19:03;19:16
